"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"PIN4",2.37454032134173e-25,-0.372523621874144,0.123,0.265,4.85142333053329e-21,"B_Cells","PIN4"
"SERPINE2.1",2.48708624719038e-25,-0.622130365269019,0.024,0.142,5.08136591163467e-21,"B_Cells","SERPINE2"
"HNRNPC",2.93770844297723e-25,-0.321496561661728,0.433,0.567,6.00203211984677e-21,"B_Cells","HNRNPC"
"SASH1",3.25848851892474e-25,-0.260499291175085,0.001,0.107,6.65741789301513e-21,"B_Cells","SASH1"
"FILIP1.1",3.27321201070004e-25,-0.315363690954745,0.009,0.12,6.68749945906125e-21,"B_Cells","FILIP1"
"PER1",3.44749592492802e-25,-0.368750656579751,0.041,0.165,7.04357892422044e-21,"B_Cells","PER1"
"NCOA4.1",3.69965491268479e-25,-0.355433217448571,0.134,0.284,7.55876495210629e-21,"B_Cells","NCOA4"
"FGL2.1",3.79813546780507e-25,-0.493520054854218,0.069,0.2,7.75997057427253e-21,"B_Cells","FGL2"
"LIMS1.1",3.96107279984691e-25,-0.394924590022944,0.12,0.258,8.09286783736722e-21,"B_Cells","LIMS1"
"DYNLT3",3.96314055824274e-25,-0.360359835619006,0.133,0.281,8.09709247454574e-21,"B_Cells","DYNLT3"
"HSPA1A",4.10000734861702e-25,-0.419583148697061,0.12,0.262,8.37672501395944e-21,"B_Cells","HSPA1A"
"PTGDS.1",4.26181830132714e-25,-1.91872886955713,0.178,0.301,8.70732097144149e-21,"B_Cells","PTGDS"
"RPS28",4.53514698019221e-25,0.422589077274584,1,0.988,9.26575879523071e-21,"B_Cells","RPS28"
"ITGA1.1",4.87287281703171e-25,-0.318543871829176,0.009,0.119,9.95576645247749e-21,"B_Cells","ITGA1"
"PSMB2",4.87870964704638e-25,-0.417702063026075,0.242,0.37,9.96769167988046e-21,"B_Cells","PSMB2"
"MRPL32.1",4.88360348083521e-25,-0.417054129876284,0.139,0.276,9.97769027169442e-21,"B_Cells","MRPL32"
"SFRP4.1",4.94920551586444e-25,-0.542106051056239,0.011,0.122,1.01117217894626e-20,"B_Cells","SFRP4"
"INPP1",5.00650257507899e-25,-0.303848994937917,0.028,0.149,1.02287854111439e-20,"B_Cells","INPP1"
"IGF2.1",5.47786092184619e-25,-0.45636867326465,0.015,0.128,1.11918176494239e-20,"B_Cells","IGF2"
"RP11-382A20.3",5.66111976264843e-25,-0.250000890731885,0.004,0.112,1.1566233787067e-20,"B_Cells","RP11-382A20.3"
"TMEM88.1",5.79932791197912e-25,-0.476430036828458,0.01,0.12,1.18486068569645e-20,"B_Cells","TMEM88"
"C7orf73",6.17256858496221e-25,-0.32950074735937,0.122,0.273,1.26111748759363e-20,"B_Cells","C7orf73"
"CALCRL.1",7.25056749899155e-25,-0.303394183400474,0.004,0.111,1.48136344571896e-20,"B_Cells","CALCRL"
"EIF6",7.26252433595218e-25,-0.363681382840562,0.195,0.341,1.48380634707839e-20,"B_Cells","EIF6"
"MLF2",7.29097480043196e-25,-0.421993377712692,0.234,0.361,1.48961906147625e-20,"B_Cells","MLF2"
"ARL6IP4",7.53606202477188e-25,-0.344945126572356,0.587,0.623,1.53969283228114e-20,"B_Cells","ARL6IP4"
"RNF7",7.62991294639808e-25,-0.440939204217762,0.239,0.36,1.55886751407859e-20,"B_Cells","RNF7"
"ZFAND5",7.64364283567828e-25,-0.451534301789705,0.188,0.324,1.56167266775743e-20,"B_Cells","ZFAND5"
"NDUFS2",7.93970261481604e-25,-0.400493195724177,0.173,0.31,1.62216064123306e-20,"B_Cells","NDUFS2"
"FAM107A.1",7.97759942928966e-25,-0.351459182645591,0.005,0.113,1.62990333939817e-20,"B_Cells","FAM107A"
"ST6GALNAC6.1",8.4900565601152e-25,-0.377211209889252,0.102,0.241,1.73460345579714e-20,"B_Cells","ST6GALNAC6"
"SNRPE",8.50250166838708e-25,-0.390482626614197,0.324,0.449,1.73714611586816e-20,"B_Cells","SNRPE"
"BCAR1.1",8.73967669904719e-25,-0.28836026446745,0.014,0.125,1.78560334638233e-20,"B_Cells","BCAR1"
"CD36",9.41457246279314e-25,-0.723248892295661,0.011,0.121,1.92349129987327e-20,"B_Cells","CD36"
"RBM8A",9.52453953139726e-25,-0.405414270779746,0.374,0.491,1.94595867165977e-20,"B_Cells","RBM8A"
"AES",9.69922935863247e-25,-0.371210866828887,0.168,0.324,1.9816495502622e-20,"B_Cells","AES"
"HSPB8.1",1.1589887340095e-24,-0.284309683892871,0.006,0.114,2.36792988245481e-20,"B_Cells","HSPB8"
"LYN.1",1.17153074056061e-24,0.290059234966035,0.227,0.114,2.39355445603938e-20,"B_Cells","LYN"
"GGCT",1.18909543511196e-24,-0.313890940126105,0.044,0.168,2.42944088347724e-20,"B_Cells","GGCT"
"PPP1R12B.1",1.52919889669031e-24,-0.354544103592717,0.027,0.147,3.12430626582796e-20,"B_Cells","PPP1R12B"
"ROMO1",1.6122147223089e-24,-0.487289670034776,0.372,0.45,3.29391589914931e-20,"B_Cells","ROMO1"
"TPPP3.1",1.6884262484709e-24,-0.443560305692853,0.009,0.117,3.44962366825089e-20,"B_Cells","TPPP3"
"PDCD5.1",1.93918103285781e-24,-0.440039677620017,0.231,0.354,3.96194076823179e-20,"B_Cells","PDCD5"
"QKI",2.02474508961664e-24,-0.329032975614624,0.044,0.169,4.13675669259577e-20,"B_Cells","QKI"
"HSPE1",2.95609038069833e-24,-0.372906233239668,0.355,0.482,6.03958825680475e-20,"B_Cells","HSPE1"
"BACE2.1",3.2930254297082e-24,-0.259647779086321,0.034,0.16,6.72798025543682e-20,"B_Cells","BACE2"
"MS4A7.1",3.31816593754195e-24,-0.638985384288252,0.025,0.139,6.77934482699197e-20,"B_Cells","MS4A7"
"DLD",3.33402447499729e-24,-0.293175296628021,0.057,0.186,6.81174540486696e-20,"B_Cells","DLD"
"SBSPON.1",3.40871580664075e-24,-0.433457944873868,0.003,0.106,6.96434726454771e-20,"B_Cells","SBSPON"
"FKBP5",3.48659185057735e-24,-0.341783592787983,0.046,0.171,7.12345580991457e-20,"B_Cells","FKBP5"
"PDE1A",3.63669611545716e-24,-0.265825999630849,0.002,0.105,7.43013383349052e-20,"B_Cells","PDE1A"
"PCDH9.1",3.65017964362415e-24,-0.360856683042292,0.011,0.12,7.4576820298885e-20,"B_Cells","PCDH9"
"PCNP.1",3.77584612780175e-24,-0.36992459236359,0.37,0.501,7.71443122371175e-20,"B_Cells","PCNP"
"EIF5B.1",3.89023232514832e-24,-0.459145604019178,0.356,0.447,7.94813366351054e-20,"B_Cells","EIF5B"
"TPD52L2",4.11530920200612e-24,-0.36424173091464,0.12,0.255,8.4079882306187e-20,"B_Cells","TPD52L2"
"NDUFA6",4.58242417995626e-24,-0.461551448063476,0.268,0.374,9.36235084206864e-20,"B_Cells","NDUFA6"
"FMNL1.1",4.87614111866516e-24,0.266468649756861,0.229,0.114,9.96244391954479e-20,"B_Cells","FMNL1"
"GLIPR2.1",4.88983893746953e-24,-0.366679176337575,0.055,0.182,9.99042993314401e-20,"B_Cells","GLIPR2"
"ITGA7.1",5.22274463425393e-24,-0.299089164478839,0.005,0.109,1.06705895622442e-19,"B_Cells","ITGA7"
"ACKR1.1",5.36371151272562e-24,-1.66917916321404,0.065,0.189,1.09585989916497e-19,"B_Cells","ACKR1"
"ITGB2.1",5.36935918566065e-24,-0.711261238126839,0.094,0.223,1.09701377522233e-19,"B_Cells","ITGB2"
"PSMA2",5.64590442557322e-24,-0.399392941463461,0.385,0.476,1.15351473318887e-19,"B_Cells","PSMA2"
"STAB1.1",5.79526161472246e-24,-0.477337068613649,0.03,0.145,1.18402990050395e-19,"B_Cells","STAB1"
"PDGFRA.1",5.9733647055889e-24,-0.314704250813369,0.004,0.107,1.22041814299887e-19,"B_Cells","PDGFRA"
"COPS8.1",6.39693819550895e-24,-0.397640041114473,0.141,0.272,1.30695844272443e-19,"B_Cells","COPS8"
"ANTXR1",6.75416568571384e-24,-0.256730708833797,0.006,0.111,1.37994359124819e-19,"B_Cells","ANTXR1"
"CCND1",6.88306917769895e-24,-0.300922785250513,0.016,0.127,1.40627986369567e-19,"B_Cells","CCND1"
"FCGR3A.1",7.25997974824466e-24,-0.907498213286813,0.041,0.159,1.48328646236387e-19,"B_Cells","FCGR3A"
"NRN1.1",7.45560434102252e-24,-0.41365259463272,0.009,0.114,1.52325452291431e-19,"B_Cells","NRN1"
"C14orf166",7.5408666553194e-24,-0.385015370107473,0.384,0.486,1.54067446634831e-19,"B_Cells","C14orf166"
"MED21",7.54602700535258e-24,-0.311048153028741,0.049,0.173,1.54172877746359e-19,"B_Cells","MED21"
"PTPRS.1",7.91037435945156e-24,-0.675174143600802,0.049,0.169,1.61616858537955e-19,"B_Cells","PTPRS"
"PDGFD.1",9.38420191878216e-24,-0.314988602695791,0.008,0.112,1.91728629402638e-19,"B_Cells","PDGFD"
"SDHD",9.48744162915109e-24,-0.362838852010148,0.191,0.336,1.93837919925186e-19,"B_Cells","SDHD"
"RALB",1.02029494991384e-23,-0.291959600557319,0.056,0.185,2.08456461216897e-19,"B_Cells","RALB"
"SERPINB1.1",1.07411152504184e-23,-0.397471782027264,0.201,0.343,2.19451725681299e-19,"B_Cells","SERPINB1"
"PLA2G2A.1",1.09709437501524e-23,-2.6362703964629,0.28,0.405,2.24147351759363e-19,"B_Cells","PLA2G2A"
"CTSK.1",1.11383933794422e-23,-0.297909678109113,0.009,0.114,2.27568515135383e-19,"B_Cells","CTSK"
"RAB18",1.17848912985923e-23,-0.370771245704305,0.148,0.28,2.40777114121539e-19,"B_Cells","RAB18"
"DSE.1",1.28008168534266e-23,-0.258806699307457,0.027,0.146,2.61533489132358e-19,"B_Cells","DSE"
