"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ALPK1",0.375131441796893,-0.322846057788947,0.161,0.182,1
"ISY1",0.3811056690947,-0.293440561208306,0.102,0.124,1
"MAPRE1",0.381826137058019,-0.262257633437793,0.178,0.198,1
"H2AFV",0.384272398250555,-0.279875920927964,0.229,0.242,1
"RBBP4",0.384415937139124,-0.346777161514548,0.186,0.208,1
"PDP2",0.388756330226136,-0.313309987659197,0.093,0.114,1
"LHFPL5",0.39538424615306,-0.275730706101323,0.119,0.143,1
"TUFM",0.39571171810959,-0.282330494085213,0.144,0.162,1
"TPM3P9",0.395979689540517,-0.264916635759339,0.085,0.103,1
"SAA1",0.398662621180449,-0.587449961925805,0.237,0.245,1
"ATP6V1A",0.399386818336662,-0.33125176965797,0.136,0.154,1
"SUSD6",0.403945435364016,-0.293725470982102,0.11,0.13,1
"SHROOM4",0.405445419903515,-0.32903469420431,0.085,0.104,1
"LEMD2",0.40597594218975,-0.282815124969562,0.093,0.112,1
"DPP9",0.406851045835303,-0.33003100918077,0.212,0.225,1
"BCL7B",0.408684986391862,-0.265179231488441,0.085,0.103,1
"GUK1",0.410687285827646,-0.260313067781253,0.237,0.247,1
"RAMP2-AS1",0.411892138384243,-0.318640258975214,0.102,0.119,1
"THAP12",0.415379912137971,-0.291916062074436,0.102,0.119,1
"SHISA9",0.416115205038914,-0.311352084172121,0.169,0.193,1
"VOPP1",0.425336642783061,-0.336334783777796,0.22,0.234,1
"SNX5",0.427791146142133,-0.315367928833259,0.127,0.146,1
"LINC00670",0.427804655567105,-0.272358659031106,0.195,0.218,1
"PSMA5",0.430549647588315,-0.287224690078783,0.195,0.207,1
"PCGF3",0.430855406445233,-0.274191754865998,0.093,0.116,1
"DHX15",0.431277824769551,-0.25445994750774,0.127,0.149,1
"NIPBL",0.432871219432388,-0.263520910142516,0.263,0.273,1
"PRPF8",0.435033442886664,-0.265968028280307,0.246,0.257,1
"MARS",0.440294514283166,-0.306344516680448,0.11,0.126,1
"AP2A2",0.442966152980371,-0.276207032571184,0.102,0.118,1
"TENT4B",0.443699118562305,-0.288070804417176,0.144,0.157,1
"S100A11",0.449403513144746,-0.382427909121783,0.678,0.64,1
"USP24",0.453898250570882,-0.250898423761866,0.102,0.117,1
"C19orf66",0.45757905784662,-0.258686045800758,0.203,0.217,1
"ATP6V1F",0.460057124917605,-0.377947084260687,0.22,0.231,1
"ZYX",0.464602045193406,-0.393273129128557,0.424,0.4,1
"CCNL2",0.467473313653667,-0.287331164057946,0.22,0.228,1
"CEL",0.467949964836816,-0.354509317182062,0.169,0.191,1
"CTSB",0.468214595671122,-1.15342765802634,0.508,0.466,1
"FKBP1A",0.468743047151122,-0.368577682942557,0.458,0.428,1
"ANXA11",0.474680644955185,-0.270383250479946,0.356,0.337,1
"COQ10B",0.475023700730145,-0.338697968853403,0.178,0.187,1
"POTEM",0.476303676979606,-0.296695547084711,0.297,0.303,1
"SETD2",0.47635255901471,-0.297037915791712,0.136,0.15,1
"EPPIN",0.477853180063484,-0.360315453992395,0.093,0.109,1
"LOC643406",0.483967278337634,-0.501038345859743,0.568,0.547,1
"STX17",0.484319509298963,-0.343963606557464,0.102,0.117,1
"POLR2J",0.484638813111037,-0.257984708804816,0.119,0.136,1
"ARF3",0.485971065858802,-0.260510374820492,0.212,0.22,1
"SSR4",0.48703013124767,-0.309487102276438,0.356,0.344,1
"FLII",0.489231339744057,-0.257461110365695,0.102,0.117,1
"LIMS1",0.490418769156378,-0.317934027988271,0.186,0.202,1
"PHIP",0.49555744678788,-0.330827626050282,0.339,0.335,1
"BUB3",0.50299727262443,-0.345183732211752,0.203,0.207,1
"FMNL3",0.505801919175526,-0.319861267316387,0.119,0.132,1
"R3HDM2",0.518100313242885,-0.253769171075679,0.102,0.116,1
"GRM6",0.52175251537984,-0.367890662509449,0.093,0.105,1
"TTC14",0.527608989609062,-0.268126914090054,0.119,0.134,1
"CTSL",0.529024148450321,-0.475791296403834,0.144,0.116,1
"C2orf68",0.530392172071901,-0.258748076687322,0.093,0.107,1
"ARID4B",0.534024615300197,-0.267172268407472,0.212,0.221,1
"RB1CC1",0.5402077074997,-0.326215162857403,0.153,0.16,1
"UBA3",0.541989218851742,-0.251547116091705,0.102,0.114,1
"REV3L",0.542733200537184,-0.347200063671357,0.127,0.138,1
"MGAT5",0.542792815376452,-0.262728985817145,0.093,0.107,1
"CGGBP1",0.54744092809186,-0.286353335204746,0.186,0.192,1
"OSBPL8",0.554290369819553,-0.255000101617816,0.254,0.257,1
"ZMAT2",0.557272158903394,-0.264043409537543,0.127,0.139,1
"ASB4",0.56555479657967,-0.420127483094631,0.178,0.184,1
"ACBD7",0.569810120557235,-0.250975608038859,0.11,0.125,1
"UBR4",0.570923925068444,-0.294695774925742,0.195,0.199,1
"FBL",0.579877425933033,-0.282035932100218,0.288,0.276,1
"ST6GAL1",0.580611384911164,-0.271270591362651,0.144,0.157,1
"USP34",0.582796631160389,-0.331414147094361,0.254,0.254,1
"CPT1A",0.586963241152287,-0.294153566258585,0.203,0.207,1
"SLC25A5",0.587844635280779,-0.251271686019462,0.254,0.256,1
"ENO2",0.588572876177417,-0.261413606837998,0.11,0.119,1
"ATMIN",0.624495212445744,-0.27016741642728,0.11,0.119,1
"WAC",0.62705892426133,-0.305575102123303,0.339,0.313,1
"HAUS2",0.629764987993217,-0.25430489599339,0.161,0.165,1
"PKM",0.638313155556253,-0.255137927799327,0.695,0.581,1
"LARP1",0.640438256890627,-0.311464559925834,0.364,0.345,1
"BRD7",0.654662913439021,-0.269372811896318,0.127,0.131,1
"SCAPER",0.654794313633112,-0.30885887251918,0.102,0.107,1
"IRGQ",0.658324027296083,-0.255824813029898,0.127,0.135,1
"LOC284581",0.663037417229468,-0.301994439010043,0.11,0.118,1
"SMARCC2",0.668064791862679,-0.272586007043766,0.246,0.239,1
"ASXL1",0.668477858209677,0.276413953991349,0.11,0.098,1
"UBXN4",0.670771199083951,-0.261124425245401,0.339,0.321,1
"ZMYM2",0.675214870747591,-0.284754089887913,0.153,0.152,1
"PHACTR4",0.67636639721133,-0.318910534809234,0.229,0.22,1
"PHB",0.679742418857281,-0.252324312061643,0.161,0.162,1
"TLK1",0.682054569358115,-0.283590438155066,0.127,0.129,1
"FAM192A",0.682658548065862,-0.356667074254942,0.195,0.191,1
