"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPN6.4",3.67369580270371e-147,0.950517881417345,0.545,0.112,7.50572789450394e-143,"Monocyte","PTPN6"
"RNF149.5",6.69900454105575e-146,1.20869091192321,0.751,0.223,1.3686736177831e-141,"Monocyte","RNF149"
"RGS10.5",1.09847249677781e-145,1.13839783939072,0.695,0.182,2.24428915816674e-141,"Monocyte","RGS10"
"PARVG.1",1.1686324151259e-145,0.718482285387428,0.371,0.053,2.38763288734372e-141,"Monocyte","PARVG"
"PPP1R15A.4",7.15352298706384e-145,1.81696602475214,0.881,0.426,1.46153628148701e-140,"Monocyte","PPP1R15A"
"ARPC3.5",1.37681947473231e-144,1.30481171701868,0.981,0.652,2.81297986882558e-140,"Monocyte","ARPC3"
"LGALS9.3",2.37700162294206e-144,0.872788207136129,0.497,0.094,4.85645201583293e-140,"Monocyte","LGALS9"
"APOBEC3A",4.58121899688847e-144,0.496698509413143,0.11,0.003,9.35988853254284e-140,"Monocyte","APOBEC3A"
"REL.5",1.33958062146291e-143,1.04853926982401,0.627,0.15,2.73689716771087e-139,"Monocyte","REL"
"ALOX5AP.3",8.88148396932171e-143,1.25858657906822,0.744,0.204,1.81457598977212e-138,"Monocyte","ALOX5AP"
"CAPG.5",1.6445252026909e-142,1.20927246686137,0.676,0.18,3.35992944161778e-138,"Monocyte","CAPG"
"S100A8",1.03702714984075e-141,4.67274715330156,0.352,0.053,2.11875016983964e-137,"Monocyte","S100A8"
"RPS6KA1.1",4.49165521377268e-140,0.665792308181401,0.345,0.047,9.17690076725897e-136,"Monocyte","RPS6KA1"
"FAM26F.3",2.1460528179052e-139,0.902179954000039,0.429,0.073,4.38460051226211e-135,"Monocyte","FAM26F"
"CD74.4",3.6097080802094e-139,1.83777858149992,0.991,0.69,7.37499457867583e-135,"Monocyte","CD74"
"FGL2.5",3.84040929043728e-139,1.00058943191429,0.657,0.166,7.8463402212924e-135,"Monocyte","FGL2"
"FCGR2B.4",1.4138998271603e-138,1.36826527112923,0.438,0.081,2.88873873687121e-134,"Monocyte","FCGR2B"
"SDS.1",3.10718240369149e-138,1.1949462983794,0.277,0.031,6.34828436898209e-134,"Monocyte","SDS"
"IGSF6.1",1.16080622680773e-137,0.841851702846456,0.361,0.053,2.37164320199088e-133,"Monocyte","IGSF6"
"GPSM3.5",2.21777509251288e-137,1.02568316004275,0.741,0.207,4.53113629151307e-133,"Monocyte","GPSM3"
"TNFRSF1B.5",3.74743297672514e-137,1.0168594013802,0.655,0.165,7.65638031474714e-133,"Monocyte","TNFRSF1B"
"CD37.4",2.27883660184105e-136,0.843891990419825,0.781,0.216,4.65589106122144e-132,"Monocyte","CD37"
"SAMSN1.4",1.05709838153882e-135,1.1212754171954,0.599,0.141,2.15975770332197e-131,"Monocyte","SAMSN1"
"HMOX1.1",4.25177061191419e-135,0.790056356709414,0.408,0.068,8.68679253720188e-131,"Monocyte","HMOX1"
"C19orf38",2.39845596300517e-134,0.463205399718632,0.179,0.012,4.90028537801586e-130,"Monocyte","C19orf38"
"IFNB1",3.37324103503289e-134,0.948426823166898,0.117,0.004,6.8918687586757e-130,"Monocyte","IFNB1"
"GPR65.1",7.4040986589034e-134,0.818386708408825,0.399,0.065,1.51273139700055e-129,"Monocyte","GPR65"
"PTPRC.5",2.62083793582094e-132,0.834124453516151,0.765,0.206,5.35463398667576e-128,"Monocyte","PTPRC"
"CD163.5",7.8897678958461e-132,0.865468652622193,0.524,0.106,1.61195847880032e-127,"Monocyte","CD163"
"LAIR1.5",1.00184693312617e-131,0.772009767053526,0.457,0.085,2.04687346907009e-127,"Monocyte","LAIR1"
"HAVCR2.1",1.00416507015164e-131,0.670434329033705,0.359,0.053,2.05160965482681e-127,"Monocyte","HAVCR2"
"CD53.5",3.04708773695408e-131,1.01365489610844,0.739,0.208,6.22550495537088e-127,"Monocyte","CD53"
"RBM47.1",1.64607788018623e-130,0.739209935889436,0.345,0.051,3.36310171700848e-126,"Monocyte","RBM47"
"FBP1.1",2.07645750014377e-130,0.66355831105418,0.284,0.035,4.24241031854374e-126,"Monocyte","FBP1"
"LINC00937",5.9127344852923e-130,0.371515830560421,0.161,0.009,1.20803078269007e-125,"Monocyte","LINC00937"
